                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.63165,                0.78123,                0.80966,                0.23667,                0.88939,                0.26865,                0.22514,                0.46052,                 201.98,                0.71644,             0.00063389,             0.00063389,             0.00063389
                     37,                0.62964,                0.77451,                0.80835,                0.22818,                0.96405,                0.25937,                0.21926,                0.46858,                  354.5,                0.71755,             0.00063153,             0.00063153,             0.00063153
                     38,                0.61497,                0.71765,                0.80689,                 0.2311,                0.92862,                0.26308,                0.21904,                0.50436,                 557.88,                0.71856,             0.00062918,             0.00062918,             0.00062918
                     39,                0.61277,                0.74174,                0.80665,                0.22957,                0.95088,                0.27334,                0.23045,                0.47692,                 578.49,                0.71651,             0.00062682,             0.00062682,             0.00062682
                     40,                0.63175,                0.74022,                0.80994,                0.22325,                0.94676,                0.25247,                0.21039,                0.49184,                 324.99,                0.71869,             0.00062446,             0.00062446,             0.00062446
                     41,                0.63305,                0.74332,                0.81137,                  0.231,                0.95307,                0.26177,                0.22223,                0.47448,                 221.73,                0.71799,             0.00062211,             0.00062211,             0.00062211
                     42,                 0.6291,                0.71724,                0.80849,                0.23205,                0.93324,                0.25787,                0.21834,                0.46611,                 517.23,                0.71488,             0.00061975,             0.00061975,             0.00061975
                     43,                0.64127,                0.73213,                0.80724,                0.23196,                0.93572,                0.26772,                 0.2263,                0.47316,                 456.89,                0.71669,              0.0006174,              0.0006174,              0.0006174
                     44,                0.60973,                0.73756,                0.80513,                0.24519,                0.86573,                0.29268,                0.24679,                0.46731,                 425.29,                0.71585,             0.00061504,             0.00061504,             0.00061504
                     45,                0.63617,                0.76915,                 0.8097,                0.23694,                0.91353,                0.26759,                0.22461,                0.47472,                 449.63,                0.71815,             0.00061268,             0.00061268,             0.00061268
                     46,                 0.6227,                0.80097,                0.80874,                0.22722,                0.88883,                0.25416,                 0.2106,                0.48633,                 311.28,                0.71701,             0.00061033,             0.00061033,             0.00061033
                     47,                  0.625,                0.73594,                0.80696,                0.21782,                0.91495,                0.24578,                 0.2031,                0.51988,                 542.83,                0.72154,             0.00060797,             0.00060797,             0.00060797
                     48,                0.61859,                0.71246,                0.80881,                 0.2345,                0.93007,                0.25596,                0.21553,                0.48609,                  348.1,                0.71914,             0.00060561,             0.00060561,             0.00060561
                     49,                0.61542,                0.70354,                0.80754,                0.22253,                0.78838,                0.24396,                0.20168,                0.50647,                 412.18,                0.72018,             0.00060326,             0.00060326,             0.00060326
                     50,                0.61025,                0.71878,                0.80472,                0.23301,                0.95291,                0.26038,                0.21941,                0.45408,                 588.04,                0.71491,              0.0006009,              0.0006009,              0.0006009
                     51,                0.60946,                0.70732,                0.81032,                0.22747,                 0.9106,                0.27606,                0.23414,                 0.4773,                 400.33,                0.71626,             0.00059855,             0.00059855,             0.00059855
                     52,                0.61671,                0.65798,                0.80623,                0.23312,                0.92569,                 0.2649,                0.22257,                0.45946,                 552.31,                0.71685,             0.00059619,             0.00059619,             0.00059619
                     53,                0.60879,                0.69215,                0.80588,                0.23634,                0.92859,                0.27601,                0.23547,                0.45067,                 515.78,                0.71422,             0.00059383,             0.00059383,             0.00059383
                     54,                0.60357,                0.69738,                0.80571,                0.23285,                0.92353,                0.26362,                0.22518,                0.45619,                 441.79,                0.71401,             0.00059148,             0.00059148,             0.00059148
                     55,                 0.5995,                0.66492,                0.80564,                0.24355,                0.88071,                0.28172,                0.23877,                0.47019,                  513.7,                0.71501,             0.00058912,             0.00058912,             0.00058912
                     56,                0.59522,                0.65171,                0.80449,                0.23303,                0.93799,                0.26585,                0.22953,                0.45412,                 564.05,                0.71417,             0.00058677,             0.00058677,             0.00058677
                     57,                 0.6088,                0.69927,                0.80582,                0.23231,                0.94127,                0.27576,                0.23555,                 0.4761,                  266.3,                0.71648,             0.00058441,             0.00058441,             0.00058441
                     58,                0.61238,                0.68467,                0.80645,                0.23656,                0.90716,                0.26431,                0.22719,                0.44987,                  437.9,                0.71309,             0.00058205,             0.00058205,             0.00058205
                     59,                0.59865,                0.65482,                0.80403,                0.23318,                0.94403,                0.25361,                0.21347,                0.47085,                 436.98,                0.71667,              0.0005797,              0.0005797,              0.0005797
                     60,                0.59502,                0.64992,                0.80346,                0.22929,                0.89912,                0.28114,                 0.2413,                0.46913,                 365.79,                0.71443,             0.00057734,             0.00057734,             0.00057734
                     61,                0.60032,                0.68609,                0.80475,                0.23667,                0.92715,                0.26918,                0.22747,                0.46064,                 419.39,                0.71589,             0.00057498,             0.00057498,             0.00057498
