                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2256,                 1.6146,                 1.2736,                0.64835,                0.53186,                0.61645,                 0.4584,                 1.0811,                 1.1179,                 1.1238,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2223,                 1.5074,                 1.2665,                0.67746,                 0.5343,                0.62691,                0.46718,                 1.0813,                 1.0986,                 1.1239,              1.196e-05,              1.196e-05,              1.196e-05
                      3,                 1.2069,                 1.4429,                 1.2207,                0.68267,                0.54328,                0.63154,                0.46957,                 1.0786,                 1.0894,                 1.1234,             9.3058e-06,             9.3058e-06,             9.3058e-06
